disvalue_term,definition,related_value,suppress_in_UI,appears_in_conflict,linked_cognate_term,sector
Blame-shifting,"Avoiding ownership for actions, typically by redirecting fault to others or external conditions.",Accountability,True,True,Accountability,gov
Irresponsibility,"Lack of duty, care, or answerability in one's actions, often resulting in ethical breaches or errors.",Ethical Responsibility,True,True,Moral Obligation,all
Negligence,Failure to act with the care that someone of ordinary prudence would have exercised in a given situation.,Duty,True,True,Duty,healthcare
Obfuscation,Deliberate hiding or complicating of information to prevent transparency or understanding.,Transparency,True,True,Auditability,finance
Opacity,"Lack of clarity, access, or traceability in system processes or ethical reasoning.",Explainability,True,True,Explainability,gov
Exploitation,"Taking unfair advantage of individuals, systems, or asymmetries of power for personal or organizational gain.",Dignity,True,True,Human Dignity,multi
Discrimination,Unjust or prejudicial treatment of individuals based on identity attributes or systemic biases.,Fairness,True,True,Equality,all
Abuse of Power,"The misuse of authority or control to suppress rights, manipulate outcomes, or serve personal interests.",Justice,True,True,Institutional Justice,gov
Bias,Systemic or cognitive inclination that skews fair treatment or equal evaluation.,Fairness,True,True,Fairness,finance
Manipulation,Covert influence over decisions or perceptions without informed consent.,Trust,True,True,Trust,all
Deception,Intentional misrepresentation of information to influence perception or behavior.,Transparency,True,True,Disclosure,gov
Malice,"Deliberate intention to cause harm, injustice, or suffering.",Non-Maleficence,True,True,,defense
Despotism,"Unaccountable, unchecked power exercised without regard for fairness, rights, or justice.",Justice,True,True,Justice,gov
Dishonesty,A pattern of deceit or withholding truth that undermines trust and ethical integrity.,Trust,True,True,Integrity,all
Exclusion,"Systematic or unjust omission of individuals or groups from benefits, rights, or opportunities.",Inclusivity,True,True,Inclusivity,multi
Recklessness,Acting without regard for known risks or foreseeable consequences.,Safety,True,True,Risk Awareness,infrastructure
Retaliation,Punitive response aimed at retribution rather than resolution or justice.,Forgiveness,True,True,Compassion,community
Secrecy,"Deliberate withholding of relevant or necessary information, especially where openness is ethically required.",Transparency,True,True,Transparency,gov
Dehumanization,"Treating individuals as less than human, often eroding dignity, rights, or ethical worth.",Dignity,True,True,Respect,multi
Domination,Imposing control or authority without mutual consent or ethical justification.,Autonomy,True,True,Autonomy,military
